Tipo de Generación de Energia,Total de Energia,Porcentaje,Año
Turbinas a vapor GWh,4166.30673,21.6312121903793,2019
Motores diesel GWh,7463.84912,38.751852548239,2019
Hidráulica GWh,1053.34287,5.46889238042085,2019
Solar GWh,149.35632,0.775448966978529,2019
Ciclo combinado GWh,4125.92161,21.106326980252,2020
Éolica GWh,1101.40119,5.63426449892699,2020
Turbinas a gas GWh,74.68183,0.382038068693117,2020
Turbinas a vapor GWh,7357.23888,37.636267518205,2020
Motores diesel GWh,5307.57357,27.1511176966262,2020
Hidráulica GWh,1285.39062,6.57547023126038,2020
Solar GWh,296.06147,1.51451500603621,2020
Ciclo combinado GWh,5954,28,2021
Éolica GWh,1231,6,2021
Turbinas a gas GWh,147,0,2021
Turbinas a vapor GWh,6820,32,2021
Motores diesel GWh,5320,25,2021
Hidráulica GWh,1497,7,2021
Solar GWh,486,2,2021
Ciclo combinado GWh,4088,21,2022
Éolica GWh,1175,6,2022
Turbinas a gas GWh,67,0,2022
Turbinas a vapor GWh,7002,35,2022
Motores diesel GWh,5341,27,2022
Hidráulica GWh,1457,7,2022
Solar GWh,732,4,2022
